% 1. Title: Agatha Christie Novels
%
% 2. Sources:
%		(a) Creator: Jeremy Singer
%		(b) Date: February, 2016
@relation novel

@attribute title string
@attribute year numeric
@attribute detective {"Hercule Poirot", "Tommy and Tuppence", "Colonel Race", "Superintendent Battle", "Miss Marple", "Mystery novel"}
@attribute location {UK, International}
@attribute point_of_view {First, Third}
@attribute murder_weapon {Poison, Stabbing, Accident, Shooting, Strangling, Concussion, ThroatSlit, None, Drowning}

@data
"The Mysterious Affair at Styles",1920,"Hercule Poirot",UK,First,Poison
"The Secret Adversary",1922,"Tommy and Tuppence",UK,Third,Poison
"The Murder on the Links",1923,"Hercule Poirot",International,First,Stabbing
"The Man in the Brown Suit",1924,"Colonel Race",International,First,Accident
"The Secret of Chimneys",1925,"Superintendent Battle",UK,Third,Shooting
"The Murder of Roger Ackroyd",1926,"Hercule Poirot",UK,First,Stabbing
"The Big Four",1927,"Hercule Poirot",UK,First,Poison
"The Mystery of the Blue Train",1928,"Hercule Poirot",International,Third,Strangling
"The Seven Dials Mystery",1929,"Superintendent Battle",UK,Third,Poison
"The Murder at the Vicarage",1930,"Miss Marple",UK,First,Shooting
"The Sittaford Mystery",1931,"Mystery novel",UK,Third,Concussion
"Peril at End House",1932,"Hercule Poirot",UK,First,Shooting
"Lord Edgware Dies",1933,"Hercule Poirot",UK,First,Stabbing
"Why Didn't They Ask Evans?",1934,"Mystery novel",UK,Third,Accident
"Murder on the Orient Express",1934,"Hercule Poirot",International,Third,Stabbing
"Three Act Tragedy",1935,"Hercule Poirot",UK,Third,Poison
"Death in the Clouds",1935,"Hercule Poirot",UK,Third,Poison
"The A.B.C. Murders",1936,"Hercule Poirot",UK,First,Concussion
"Cards on the Table",1936,"Hercule Poirot",UK,Third,Stabbing
"Murder in Mesopotamia",1936,"Hercule Poirot",International,First,Concussion
"Death on the Nile",1937,"Hercule Poirot",International,Third,Shooting
"Dumb Witness",1937,"Hercule Poirot",UK,First,Poison
"Appointment with Death",1938,"Hercule Poirot",International,Third,Poison
"Hercule Poirot's Christmas",1938,"Hercule Poirot",UK,Third,ThroatSlit
"Murder Is Easy",1939,"Superintendent Battle",UK,Third,Accident
"And then there were none",1940,"Mystery novel",UK,Third,Poison
"One Two Buckle My Shoe",1940,"Hercule Poirot",UK,Third,Shooting
"Sad Cypress",1940,"Hercule Poirot",UK,Third,Poison
"Evil Under the Sun",1941,"Hercule Poirot",UK,Third,Strangling
"N or M?",1941,"Tommy and Tuppence",UK,Third,Accident
"The Body in the Library",1942,"Miss Marple",UK,Third,Poison
"The Moving Finger",1942,"Miss Marple",UK,First,Poison
"Five Little Pigs",1942,"Hercule Poirot",UK,Third,Poison
"Towards Zero",1944,"Superintendent Battle",UK,Third,Concussion
"Death Comes as the End",1945,"Mystery novel",International,Third,Accident
"Sparkling Cyanide",1945,"Colonel Race",UK,Third,Poison
"The Hollow",1946,"Hercule Poirot",UK,Third,Shooting
"Taken at the Flood",1948,"Hercule Poirot",UK,Third,Accident
"Crooked House",1949,"Mystery novel",UK,First,Poison
"A Murder Is Announced",1950,"Miss Marple",UK,Third,Shooting
"They Came to Baghdad",1951,"Mystery novel",International,Third,Stabbing
"They Do It with Mirrors",1952,"Miss Marple",UK,Third,Shooting
"Mrs McGinty's Dead",1952,"Hercule Poirot",UK,Third,Concussion
"After the Funeral",1953,"Hercule Poirot",UK,Third,Concussion
"A Pocket Full of Rye",1953,"Miss Marple",UK,Third,Poison
"Destination Unknown",1954,"Mystery novel",International,Third,Poison
"Hickory Dickory Dock",1955,"Hercule Poirot",UK,Third,Poison
"Dead Man's Folly",1956,"Hercule Poirot",UK,Third,Strangling
"4.50 from Paddington",1957,"Miss Marple",UK,Third,Strangling
"Ordeal by Innocence",1958,"Mystery novel",UK,Third,Concussion
"Cat Among the Pigeons",1959,"Hercule Poirot",UK,Third,Shooting
"The Pale Horse",1961,"Mystery novel",UK,First,Poison
"The Mirror Crack'd from Side to Side",1962,"Miss Marple",UK,Third,Poison
"The Clocks",1963,"Hercule Poirot",UK,First,Stabbing
"A Caribbean Mystery",1964,"Miss Marple",International,Third,Poison
"At Bertram's Hotel",1965,"Miss Marple",UK,Third,Shooting
"Third Girl",1966,"Hercule Poirot",UK,Third,Accident
"Endless Night",1967,"Mystery novel",UK,First,Accident
"By the Pricking of My Thumbs",1968,"Tommy and Tuppence",UK,Third,Poison
"Hallowe'en Party",1969,"Hercule Poirot",UK,Third,Drowning
"Passenger to Frankfurt",1970,"Mystery novel",International,Third,None
"Nemesis",1971,"Miss Marple",UK,Third,Poison
"Elephants Can Remember",1972,"Hercule Poirot",UK,Third,Shooting
"Postern of Fate",1973,"Tommy and Tuppence",UK,Third,Poison
"Curtain",1975,"Hercule Poirot",UK,First,Poison
"Sleeping Murder",1976,"Miss Marple",UK,Third,Strangling
